Reference,Value,Qty,DNP,LCSC PN
BT1,Battery_Cell,1,,
C1,0.33uF/50V,1,,C264238
"C2,C5,C6,C7,C8,C9,C11,C12,C13,C20,C23,C24,C25,C26,C27,C28,C29,C30,C31",100nF,19,,C1711
C3,10uF/35V,1,,C4747970
C4,22uF/10V,1,,C48970747
C10,220uF/50V,1,,C970698
C14,4.7uF,1,,C98192
"C15,C16",12pF,2,,C107108
C17,100uF/50V,1,,C2836439
C18,470uF/35V,1,,C22469994
C19,15nF,1,,C445728
"C21,C22",1uF,2,,C28323
"D1,D2,D3,D4,D5",SS36,5,,C3014012
J1,BOOT PINS,1,,C32713283
J2,SERIAL_PORT,1,,C52016391
J3,B12B-XH-A_LF,1,,C52121892
J4,430451400,1,,
J5,B5B-XH-A,1,,C157991
"K1,K2,K3",SANYOU_SRD_Form_C,3,,C35449
L1,33uH,1,,C9400
"Q1,Q2,Q3,Q4",BC817,4,,C49238158
"R1,R2,R3,R7,R19,R20,R22,R26,R27,R28,R29,R30,R31",100k,13,,C2907293
"R4,R13",1k,2,,C2907232
"R5,R6,R15",10K,3,,C2907219
R8,15k,1,,C2930170
R9,4.87k,1,,C2930197
R10,82k,1,,C17840
R11,806 R,1,,C2999620
R12,3.83k,1,,C2933428
R14,2.37k,1,,C5126005
R16,1.69k,1,,C2482737
"R17,R18",4.7k,2,,C2907326
"R21,R23,R24,R25",220R,4,,C17557
R32,TC33X-2-103E,1,,C719176
SW1,Reset,1,,C318884
U1,L7805,1,,C42376985
U2,AMS1117-3.3,1,,C5205141
U3,L293DD,1,,C2973803
U4,STM32F103C8Tx,1,,C8734
U5,LM2596S-ADJ,1,,C5276751
U6,TMUX1208PWR,1,,C494728
U7,DS3231MZ,1,,C107410
Y1,8Mhz,1,,C5265803
