LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Updated lead time,Date Code / Lot No.
C2836439,RVT100UF50V67RV0040,KNSCHA,,"SMD,D8xL10.2mm",100uF ±20% 50V Aluminum Electrolytic Capacitors 2000hrs@105℃,YES,5,0.0851,0.43,,,
C5276751,LM2596S-ADJ,TWGMC,,TO-263-5,150kHz Buck Adjustable 1.2V~37V 3A TO-263-5 Voltage Regulators - DC DC Switching Regulators RoHS,YES,5,0.6231,3.12,,,
C3014012,SS36,FOSAN,,SMA(DO-214AC),Diode 60V 3A Surface Mount SMA,YES,20,0.0259,0.52,,,
C9400,SMDRI127-330MT,Shun Xiang Nuo,,"SMD,12.3x12.3mm","3A 33uH ±20% 5.5A 65mΩ Magnetic Shielded Inductor SMD,12.3x12.3mm Fixed Inductors RoHS",YES,5,0.2303,1.15,,,
C22469994,EFVM050ADA471M10C0,FOLLON,,"SMD,D10xL12.5mm",470uF ±20% 50V Aluminum Electrolytic Capacitors,YES,5,0.2537,1.27,,,
C445728,C2012C0G1H153JT000N,TDK,,0805,15nF ±5% 50V Ceramic Capacitor C0G 0805,YES,10,0.0436,0.44,,,
C494728,TMUX1208PWR,TI,,TSSOP-16,"1.08V~5.5V 5Ω 1 TSSOP-16 Analog Switches, Multiplexers, Demultiplexers RoHS",YES,5,0.5391,2.70,,,
C2930197,FRC0805F4871TS,FOJAN,,0805,4.87kΩ ±1% 125mW 0805 Thick Film Resistor,YES,100,0.002,0.20,,,
C2933428,FRC0805F3831TS,FOJAN,,0805,3.83kΩ ±1% 125mW 0805 Thick Film Resistor,YES,100,0.0021,0.21,,,
C5126005,FRC0805F2371TS,FOJAN,,0805,2.37kΩ ±1% 125mW 0805 Thick Film Resistor,YES,100,0.0019,0.19,,,
C2482737,RK73H2ATTD1691F,KOA,,0805,250mW 1.69kΩ 150V Thick Film Resistor ±100ppm/℃ ±1% 0805 Chip Resistor - Surface Mount RoHS,YES,50,0.0162,0.81,,,
C2999620,FRC0805F8060TS,FOJAN,,0805,806Ω ±1% 125mW 0805 Thick Film Resistor,YES,100,0.002,0.20,,,
C2930170,FRC0805F1502TS,FOJAN,,0805,15kΩ ±1% 125mW 0805 Thick Film Resistor,YES,100,0.0022,0.22,,,
C2907232,FRC0805F1001TS,FOJAN,,0805,1kΩ ±1% 125mW 0805 Thick Film Resistor,YES,100,0.002,0.20,,,
C1711,CL21B104KBCNNNC,Samsung Electro-Mechanics,,0805,100nF ±10% 50V Ceramic Capacitor X7R 0805,YES,50,0.0062,0.31,,,
C2907219,FRC0805F1002TS,FOJAN,,0805,10kΩ ±1% 125mW 0805 Thick Film Resistor,YES,100,0.0021,0.21,,,
C17840,0805W8F8202T5E,UNI-ROYAL,,0805,82kΩ ±1% 125mW 0805 Thick Film Resistor,YES,100,0.0021,0.21,,,
C2907293,FRC0805J104 TS,FOJAN,,0805,100kΩ ±5% 125mW 0805 Thick Film Resistor,YES,100,0.0016,0.16,,,
C42376985,L7805MDTR(XBLW),XBLW,,TO-252-2L,"5V Positive Fixed TO-252-2L Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",YES,5,0.0868,0.43,,,
C48970747,RYRVT10V22UF4*5,Honor Elec,,"SMD,D4xL5.4mm","10V ±20% 22uF SMD,D4xL5.4mm Aluminum Electrolytic Capacitors RoHS",YES,20,0.0139,0.28,,,
C970698,RVT1H221M1010 220UF 50V,DMBJ,,"SMD,D10xL10.2mm",220uF ±20% 50V Aluminum Electrolytic Capacitors 2800hrs@105℃,YES,5,0.095,0.48,,,
C2973803,L293DDM/TR,HGSEMI,,SOP-20,"SOP-20 Motor Drivers, Controllers RoHS",YES,5,1.292,6.46,,,
C8734,STM32F103C8T6,ST,,LQFP-48(7x7),ARM Cortex-M3 32 Bit 72MHz 37 LQFP-48(7x7) Microcontrollers RoHS,YES,5,1.6524,8.26,,,
C5265803,HY8M49SBSMDFB1R30,Huiyuan crystal,,HC-49S-SMD,Crystal 8MHz 12pF HC-49S-SMD,YES,5,0.0821,0.41,,,
C107108,CC0805JRNPO9BN120,YAGEO,,0805,12pF ±5% 50V Ceramic Capacitor NP0 0805,YES,100,0.0068,0.68,,,
C2907326,FRC0805J472 TS,FOJAN,,0805,4.7kΩ ±5% 125mW 0805 Thick Film Resistor,YES,100,0.0016,0.16,,,
C107410,DS3231MZ+TRL,MAXIM,,SOIC-8,Built-in Yes SOIC-8 Real Time Clocks RoHS,YES,5,3.1123,15.56,,,
C28323,CL21B105KBFNNNE,Samsung Electro-Mechanics,,0805,1uF ±10% 50V Ceramic Capacitor X7R 0805,YES,20,0.0133,0.27,,,
C49238158,BC817-16,Guangdong Hottech,,SOT-23,625mW 100 1 NPN 800mA 45V SOT-23 Single Bipolar Transistors RoHS,YES,50,0.0174,0.87,,,
C17557,0805W8F2200T5E,UNI-ROYAL,,0805,220Ω ±1% 125mW 0805 Thick Film Resistor,YES,100,0.0026,0.26,,,
C5205141,AMS1117-3.3V,JSMSEMI,,SOT-223,"3.3V Positive Fixed SOT-223 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",YES,10,0.0432,0.43,,,
C157991,B5B-XH-A(LF)(SN),JST,,"Through Hole,P=2.5mm",Connector Header 5 position 2.5mm Pitch 3A Through Hole -25℃~+85℃,YES,5,0.0906,0.45,,,
C32713283,HX PZ2.54-2x3P TP,hanxia,,"SMD,P=2.54mm",Pin Header 6 Position 2.54mm Pitch Dual Row Surface Mount -40℃~+105℃,YES,10,0.0487,0.49,,,
C318884,TS-1187A-B-A-B,XKB Connection,,"SMD-4P,5.1x5.1mm",Tactile Switch SPST 160gf 1.5mm 5.1mm x 5.1mm Surface Mount,YES,20,0.0202,0.40,,,
C35449,SRD-05VDC-SL-C,Songle Relay,,"Through Hole,19.2x15.6mm","Power Relay 1 Form C: 1C (SPDT-CO) 5V Coil Through Hole,15.6x19.2mm",YES,5,0.4809,2.40,,,
C52016391,HX PH254-01-03-Z-L11.5 pcb pin header,hanxia,,"Through Hole,P=2.54mm","Pin Header 1 2.5mm 6mm 3P -40℃~+105℃ 3mm 2.54mm 3A 1kV 1x3P Through Hole,P=2.54mm Headers, Male Pins RoHS",YES,20,0.0202,0.40,,,
